request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_208,3030038.7,affordable_later,wait,2024-06-15:4413000.0,2024-06-15,none,"The requested amount of IDR 4,413,000 exceeds the safe-to-pay baseline of IDR 3,030,038.7. However, full payment is safe by 2024-06-15, which is before the desired completion date of 2024-07-13. Therefore, waiting until 2024-06-15 is the recommended approach."
request_209,1499.71,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 56,914 exceeds your safe payment capacity of ZAR 1,499.71. Since partial payments are not allowed for this request and no full payment is forecasted within 90 days, the request is not currently affordable."
request_210,972.71,affordable_with_plan,partial_payment,2026-04-06:972.71|2026-04-15:387.31,2026-04-15,none,"Your baseline safe-to-pay amount of 972.71 is less than the requested 1360.02. However, you can afford the full amount by 2026-04-15. Since you allow partial payments, a split payment is recommended to cover the expense by your desired completion date without incurring financing fees associated with installment plans."
request_211,248.15,affordable_later,wait,2024-11-15:1788.6,2024-11-15,none,"The baseline safe amount of 248.15 is insufficient for the full payment of 1788.60. Installments are not viable as the plan duration exceeds the 8-month limit. However, the full amount is safe to pay by the desired completion date of 2024-11-15, making waiting the recommended approach."
request_212,3323932.56,not_affordable,not_recommended,none,,none,"The requested amount of IDR 71,934,000 significantly exceeds the safe-to-pay baseline of IDR 3,323,932.56. No installment plan meets the criteria of being completed within the 11-month limit, and partial payment is not viable as there is no projected date for full payment within 90 days."
request_213,3362.4,affordable_now,not_recommended,none,2026-01-07,none,"The requested amount of 3362.4 is within the safe-to-pay baseline of 3362.4. Although the employer message indicates a loss of future income, the current balance and 90-day forecast confirm that the full amount can be paid immediately while maintaining the required minimum balance."
request_214,36925.54,affordable_with_plan,partial_payment,2024-12-04:36925.54|2025-01-15:32824.46,2025-01-15,none,"The requested amount of 69,750 INR exceeds the safe-to-pay baseline of 36,925.54 INR. However, partial payment is allowed and the remainder can be covered by 2025-01-15, which is before your desired completion date of 2025-01-28. This is preferred over installments as it avoids financing fees."
request_215,29986,affordable_now,not_recommended,none,2025-05-06,none,"Your baseline safe-to-pay amount of ZAR 29,986 covers the full requested investment amount. As you have sufficient funds available today, a full payment is recommended."
request_216,463.31,not_affordable,not_recommended,none,,none,"The requested amount of USD 3,332.40 exceeds the safe-to-pay baseline of USD 463.31. Even accounting for the salary increase effective 2026-07-15, the user's preference for full payment cannot be met, and no other payment methods are considered acceptable by the user."
request_217,12889.07,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,"The requested amount of 37,180 ZAR exceeds the safe baseline of 19,116.13 ZAR. An installment plan is available that fits within the desired completion date and the user's preference for installments, allowing for the full request to be met without requiring spending changes."
request_218,24084897.74,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"The requested amount of IDR 61,142,000 exceeds the safe baseline of IDR 24,084,897.74. However, an installment plan (payment_option_625) is available that fits within the 8-month limit and completes by the desired date. Full payment is not safe until 2025-09-15, which is within the desired completion window, but the installment plan allows for immediate purchase."
request_219,0,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,,none,"The baseline safe amount is 0.0 due to projected future commitments, making full payment unaffordable. However, the 3-payment installment plan (payment_option_628) is affordable as it fits within the 5-month limit and the first payment is before the desired completion date."
request_220,51.68,not_affordable,not_recommended,none,,none,"Your baseline safe-to-pay amount is EUR 51.68, which is insufficient to cover the requested EUR 3,118.50. Even with available installment options, the required payments exceed your current and projected financial capacity, and no full payment date is forecasted within 90 days."
request_221,109800,affordable_now,full_payment,2025-11-03:109800.0,2025-11-03,none,"The requested amount of INR 109,800 is within the safe-to-pay baseline of INR 109,800. As the user is willing to consider full payment and it is affordable today, full payment is recommended."
request_222,34078,affordable_now,full_payment,2026-01-05:34078.0,2026-01-05,none,"The requested amount of ZAR 34,078 is fully covered by the baseline safe-to-pay amount of ZAR 34,078. As the user considers full payment and it is affordable today, this is the recommended path."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,The requested amount of 898.70 EUR is within your safe-to-pay baseline of 898.70 EUR. You have sufficient funds available to complete the full payment today while maintaining your required minimum balance.
request_224,9787169.92,affordable_with_plan,partial_payment,2025-02-04:9787169.92|2025-02-15:539830.08,2025-02-15,none,"The requested amount of IDR 10,327,000 exceeds the safe baseline of IDR 9,787,169.92. However, partial payment is allowed and the remainder can be covered by the earliest date for full payment (2025-02-15), which is well within the desired completion date of 2025-03-16."
request_225,7647120,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"The requested amount of IDR 22,059,000 exceeds the safe baseline of IDR 9,485,739.27. Installment option 647 is affordable, fits within the 4-month limit, and completes by the desired date of 2026-09-21."
request_226,157000,affordable_with_plan,full_payment,2024-12-03:157000.0,2024-12-03,none,"The employer confirmed a one-time arrears adjustment of INR 117,000, which increases your available funds. This additional income raises your safe-to-pay capacity above the requested amount of INR 157,000, making a full payment affordable today."
request_227,6591.02,not_affordable,not_recommended,none,,none,"The requested amount of INR 259,700 exceeds the safe payment capacity of INR 6,591.02. No full payment is projected within 90 days, and the user does not consider installments. Partial payment is not permitted for this request."
request_228,31559135.95,not_affordable,not_recommended,none,,none,"The baseline safe amount is IDR 1,159,135.95. Including the confirmed salary of IDR 30,400,000 on 2026-04-15, the total safe amount is IDR 31,559,135.95. This is insufficient to cover the requested investment of IDR 63,327,000. No installment plans meet the criteria, and full payment is not possible within the 90-day forecast."
request_229,502.38,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,The requested amount of 1526.80 exceeds the safe baseline of 502.38. An installment plan is available that fits within the 4-month limit and completes by the desired date of 2024-05-23. Payment option 659 is selected as it is the most efficient installment plan.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,"The requested amount of EUR 3,537.60 is fully covered by the baseline safe-to-pay amount. Despite the reduction in monthly salary reported by your employer, your current available balance and projected cash flow remain sufficient to support the full payment today without compromising your minimum balance or protected expenses."
request_231,30797.36,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-03-15,none,"The requested amount of ZAR 35,706 exceeds the safe baseline of ZAR 30,797.36. However, the user is willing to consider installments. Payment option 666 is affordable, with three payments of ZAR 12,378.08 starting on 2026-01-06, which fits within the 11-month limit and completes before the desired date."
request_232,432.67,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1,970.10 exceeds the safe-to-pay baseline of EUR 432.67. Even with the upcoming salary increase on 2024-06-15, the precomputed forecast indicates no safe date for full payment within 90 days, and available installment plans exceed the maximum allowed duration of 8 months."
request_233,0,affordable_with_plan,installments,2025-11-14:3245320|2025-12-15:3245320,,none,"The baseline safe-to-pay amount is 0.0 due to projected negative balances over the next 90 days. However, the installment plan (payment_option_673) is affordable as it fits within the user's preferences and the desired completion date, despite the financing fee."
request_234,172.27,affordable_later,wait,2026-09-15:1213.3,2026-09-15,none,"The requested amount of 1213.30 exceeds the safe-to-pay baseline of 172.27. Since partial payments are not allowed and no installment plans are acceptable, the full amount can be safely paid by the desired completion date of 2026-09-15."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,"Your current available balance of USD 2,086.28, after accounting for your minimum balance requirement, supports the full payment of USD 967.20 immediately. This is the most cost-effective option as it avoids financing fees associated with installment plans."
request_236,5466308.13,not_affordable,not_recommended,none,,none,"The requested amount of IDR 52,383,000 exceeds the safe payment capacity of IDR 5,466,308.13. Additionally, there is no projected date within the next 90 days where a full payment becomes safe, and partial payment is not viable as the remainder cannot be covered by the desired completion date."
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000.0,2026-04-05,none,"The requested amount of IDR 23,826,000 is fully covered by the baseline safe-to-pay amount of IDR 23,826,000. As the user considers full payment and it is affordable today, this is the recommended option."
request_238,663.6,affordable_now,not_recommended,none,2024-12-07,none,"The baseline safe amount of 663.60 covers the full requested amount. Since the user is able to pay the full amount today and it is within the safe threshold, full payment is recommended."
request_239,642,affordable_now,full_payment,2025-05-04:642.0,2025-05-04,none,"Your baseline safe-to-pay amount is 642.0, which covers the full requested investment amount of 642.0. As you are willing to use full payment, this is the most cost-effective option."
request_240,13327.04,not_affordable,not_recommended,none,,none,"Your safe-to-pay amount of INR 13,327.04 is significantly lower than the requested INR 101,200. Even with the upcoming salary credit on 2026-01-15, your 90-day balance forecast does not support full payment within the desired completion date. Partial payment is not viable as the remainder cannot be covered by 2026-03-20, and you have not indicated willingness to use installment plans."
request_241,21052000,affordable_now,not_recommended,none,2024-03-03,none,"The requested amount of IDR 21,052,000 is fully covered by the baseline safe-to-pay amount of IDR 21,052,000. As the user's profile allows for full payment and it is safe to pay today, full payment is the recommended option."
request_242,0,not_affordable,not_recommended,none,,none,"The requested amount of 1966.80 EUR exceeds the safe payment capacity of 0.00 EUR. Even with the confirmed salary of 968.00 EUR on 2025-08-15, the 90-day balance forecast remains negative, indicating that the requested repayment is not affordable at this time."
request_243,17468,affordable_now,full_payment,2026-07-07:17468.0,2026-07-07,none,"Your baseline safe-to-pay amount of ZAR 17,468 covers the full requested amount. Since you are willing to use full payment, this is the most efficient option to complete the request immediately."
request_244,49918,affordable_now,full_payment,2024-06-04:49918.0,2024-06-04,none,"Your baseline safe-to-pay amount is 49,918.0 ZAR, which covers the full requested amount. Therefore, a full payment today is affordable and recommended."
request_245,21704.79,not_affordable,not_recommended,none,,none,"The requested amount of INR 128,500 exceeds the safe-to-pay baseline of INR 21,704.79. Installments are not viable as the 15-month plan exceeds the 7-month limit, and partial payment is not permitted by the provider. No full payment is projected within the 90-day window."
request_246,64086,affordable_now,not_recommended,none,2026-04-03,none,"The baseline safe amount of ZAR 64,086 covers the full request. Although the employer message indicates employment has ended, the precomputed 90-day balance forecast already accounts for this change, confirming that a full payment on the request date remains safe."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"The requested amount of 1059.30 EUR is within the safe baseline of 1059.30 EUR. As the user considers full payment and it is affordable today, this is the recommended path."
request_248,1184.57,affordable_with_plan,partial_payment,2025-02-07:1184.57|2025-02-20:781.03,2025-02-20,none,"Your baseline safe-to-pay amount is 1184.57, which is less than the requested 1965.60. However, you can afford the full amount by 2025-02-20. A partial payment plan is recommended, allowing you to pay 1184.57 today and the remaining 781.03 on 2025-02-20, which is well within your desired completion date."
request_249,120.35,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,"The requested amount of 643.20 exceeds the safe-to-pay baseline of 120.35. While installments are available, they incur a financing fee and exceed the 6-month limit. Full payment is safe by 2026-03-15, which aligns with your desired completion date."
request_250,14989.13,not_affordable,not_recommended,none,,none,"Your safe-to-pay amount of ZAR 14,989.13 is significantly lower than the requested ZAR 124,278.00. Even with the confirmed salary increase, the 90-day forecast indicates that a full payment or the available installment plans are not sustainable without compromising your required minimum balance. Partial payment is not viable as the remainder cannot be covered by your desired completion date."
request_251,1513.6,affordable_now,not_recommended,none,2025-05-03,none,"Your baseline safe-to-pay amount of 1513.60 covers the full requested amount of 1513.60 on the request date. As full payment is safe and within your budget, it is recommended to pay in full today."
request_252,3738960.27,affordable_later,wait,2026-09-15:28082000.0,2026-09-15,none,"The requested amount of IDR 28,082,000 exceeds the safe-to-pay baseline of IDR 3,738,960.27. As you only consider full payment and the earliest date for a safe full payment is 2026-09-15, which falls within your desired completion date, waiting is the recommended approach."
request_253,1344.26,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"The requested amount of 2840.20 exceeds the safe baseline of 1344.26. An installment plan (payment_option_729) is available and fits within the 5-month limit and desired completion date, making it the most suitable option."
request_254,602.67,affordable_later,wait,2025-10-15:3535.2,2025-10-15,none,"The requested amount of 3,535.20 exceeds the safe-to-pay baseline of 602.67. While installments are available, they incur significant financing fees. Full payment is safe by the desired completion date of 2025-10-15, making waiting the most cost-effective option."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000.0,2026-04-06,none,"Your baseline safe-to-pay amount of IDR 3,345,000 covers the full requested amount today. As you are willing to consider full payment, this is the most efficient option."
request_256,148766.79,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"The requested amount of 218,700 exceeds the safe baseline of 148,766.79. However, the installment plan (payment_option_737) is affordable, fits within the 3-month limit, and completes by the desired date of 2024-08-19."
request_257,325.73,affordable_later,wait,2026-01-15:1352.4,2026-01-15,none,"The requested amount of 1352.40 exceeds the current safe-to-pay baseline of 325.73. Since partial payments are not allowed and the user's profile does not include installments, the full amount can only be safely paid on 2026-01-15, which aligns with the desired completion date."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,"Your baseline safe-to-pay amount of 1113.60 covers the full requested investment amount of 1113.60 while maintaining your minimum balance requirements. Therefore, a full payment today is affordable."
request_259,248.98,affordable_later,wait,2024-11-15:935.0,2024-11-15,none,"The requested amount of 935.00 EUR exceeds the safe-to-pay baseline of 248.98 EUR. As you only consider full payment and no installment plan is viable, waiting until 2024-11-15 is the recommended path, as full payment becomes safe by that date."
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000.0,2025-08-03,none,"Your current available balance and 90-day forecast confirm that you can safely afford the full requested amount of IDR 15,656,000 today without impacting your protected expenses or minimum balance requirements."
request_260,6118472.68,not_affordable,not_recommended,none,,none,"Your safe-to-pay amount of IDR 6,118,472.68 is insufficient to cover the requested IDR 52,079,000.00. Additionally, there is no projected date within the next 90 days where a full payment becomes safe, and you have not indicated a willingness to use installment plans."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"Your current available balance of EUR 4,718.96, after accounting for your minimum balance requirement, supports the full payment of EUR 1,830.40 today. This amount is within your safe-to-pay baseline."
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000.0,2024-12-05,none,"The requested amount of IDR 9,236,000 is fully covered by the baseline safe-to-pay amount of IDR 9,236,000. Despite the employer notification regarding a reduction in household income, the current balance and 90-day forecast confirm that a full payment on the request date is affordable."
request_263,5328.08,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 51,546 exceeds your safe payment capacity of ZAR 5,328.08. Even with potential spending adjustments, you cannot reach the full amount by the desired completion date of 15 June 2025, and no full payment date is projected within the 90-day forecast."
request_264,22423.98,affordable_later,wait,2026-06-15:111300.0,2026-06-15,none,"The requested amount of INR 111,300 exceeds the safe-to-pay baseline of INR 22,423.98. Installment options exceed the maximum installment duration of 10 months. Full payment is safe by the desired completion date of 2026-06-15, making waiting the recommended path."
request_265,45970,affordable_now,full_payment,2024-03-06:45970.0,2024-03-06,none,"The requested amount of 45,970 is within the safe baseline of 45,970. Although your employer indicated the end of a seasonal contract, the 90-day balance forecast already accounts for this change, confirming that a full payment today is safe."
request_266,763.3,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,"The requested amount of 935.00 exceeds the safe baseline of 763.30. Since partial payment is not allowed, an installment plan is the most suitable option. Payment option 764 allows for three payments starting on 2025-08-03, which completes the investment by the desired date of 2025-10-03 and fits within the 10-month limit."
request_267,1605.98,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-03-15,none,The requested amount of 1925.00 exceeds the safe baseline of 1605.98. An installment plan is available that fits within the 3-month limit and completes before the desired date of 17 March 2026. This is preferred over waiting until 15 March 2026 for a full payment.
request_268,841.22,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"The requested amount of 2426.60 exceeds the safe baseline of 1024.69. An installment plan (payment_option_770) is available that fits within the 4-month limit and completes by the desired date of 2024-08-15. Full payment is not safe today, but is possible by 2024-07-15."
request_269,0,not_affordable,not_recommended,none,,none,"The baseline safe amount is 0.0 due to a projected 90-day deficit of ZAR 57,434.09. Even with the confirmed salary of ZAR 38,280 on 2025-11-15, the long-term forecast remains negative, making the requested transfer of ZAR 15,490 unaffordable."
request_27,6670,affordable_now,full_payment,2026-07-05:6670.0,2026-07-05,none,"The requested amount of ZAR 6,670 is within the baseline safe-to-pay limit of ZAR 6,670. Full payment is affordable today without impacting your protected balance or requiring spending changes."
request_270,79.35,not_affordable,not_recommended,none,,none,"The requested amount of 3,028.80 exceeds the safe baseline of 79.35. Available installment plans exceed the maximum allowed duration of 7 months (18 and 24 months respectively), and partial payment is not permitted for this request. No combination of spending changes allows for full payment or a compliant installment plan."
request_271,4634.99,affordable_later,wait,2024-11-20:91300.0,2024-11-20,none,"The requested amount of INR 91,300 exceeds the safe-to-pay baseline of INR 4,634.99. Full payment is not currently affordable, and the earliest date for full payment (2024-11-20) falls after your desired completion date of 2024-11-15. Therefore, the request is not recommended at this time."
request_272,4709466.67,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"The requested amount of IDR 13,585,000 exceeds the safe baseline of IDR 5,344,105.23. Installment plan payment_option_780 is affordable, fits within the 7-month limit, and completes by the desired date of 2025-04-10."
request_273,9362907.21,affordable_with_plan,partial_payment,2026-04-07:9362907.21|2026-04-15:6498092.79,2026-04-15,none,"The requested amount of 15,861,000 exceeds the safe baseline of 9,362,907.21. However, partial payment is allowed and the remainder can be covered by 2026-04-15, which is well within the desired completion date of 2026-06-15."
request_274,2055.59,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-02-15,none,"The requested amount of 2713.70 exceeds the safe baseline of 2055.59. Full payment is not safe until 2025-02-15, which is after the desired completion date. Installment option 785 is affordable, completes by 2025-02-04, and fits within the user's preferences."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000.0,2025-05-06,none,"The requested amount of IDR 15,884,000 is fully covered by the baseline safe-to-pay amount of IDR 15,884,000. As you are willing to consider full payment, this is the most cost-effective option."
request_28,172.31,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1,302.40 exceeds the safe-to-pay baseline of EUR 172.31. Even with the confirmed salary increase of EUR 653.40, the precomputed 90-day forecast indicates that a full payment is not safe within the desired completion date, and the user only considers full payment as a method."
request_29,51524,affordable_now,full_payment,2025-11-04:51524.0,2025-11-04,none,"The requested amount of 51,524 ZAR is within the safe-to-pay baseline of 51,524 ZAR. Although your employer confirmed the end of your seasonal contract, your current available balance and 90-day forecast support a full payment today while maintaining your required minimum balance."
request_30,775.2,affordable_now,not_recommended,none,2026-04-06,none,"The baseline safe amount of 775.20 covers the full requested amount on the request date, allowing for a full payment without impacting your minimum balance requirements."
request_31,2394535.04,affordable_later,wait,2024-11-15:18164000.0,2024-11-15,none,"The requested amount of IDR 18,164,000 exceeds the safe-to-pay baseline of IDR 2,394,535.04. Installment options are not viable as they exceed the 6-month limit. Full payment is safe by 2024-11-15, which is within your desired completion date."
request_32,12706.46,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 40,018 exceeds the safe-to-pay baseline of ZAR 12,706.46. Even with the confirmed salary increase on 2025-02-15, the precomputed forecast indicates no date within 90 days where the full amount can be safely paid while maintaining your required minimum balance. Installment options are not considered as they are not in your preferred payment methods."
request_33,28254.56,not_affordable,not_recommended,none,,none,"The requested amount of INR 118,000 exceeds the safe payment capacity of INR 28,254.56. Even with all adjustable spending events stopped or reduced, the headroom remains insufficient to cover the full deposit, and no full payment is projected within the 90-day forecast."
request_34,129400,affordable_now,full_payment,2024-12-04:129400.0,2024-12-04,none,"Your current available balance of INR 559,752.50 is sufficient to cover the requested amount of INR 129,400.00 while maintaining your required minimum balance. As the full amount is safe to pay today, a full payment is recommended."
request_35,22437.68,affordable_later,wait,2026-01-15:212000.0,2026-01-15,none,"The requested amount of INR 212,000 exceeds the safe-to-pay baseline of INR 22,437.68. Full payment is not currently affordable, but the full amount becomes safe to pay by the desired completion date of 2026-01-15. Therefore, waiting until this date is the recommended approach."
request_36,552.64,not_affordable,not_recommended,none,,none,"The requested amount of USD 3,954 exceeds the safe-to-pay baseline of USD 552.64. Even accounting for the salary increase effective July 15, 2026, the projected balance does not support full payment or the available installment plans within the desired timeframe, and the user only considers full payment."
request_37,930584.46,not_affordable,not_recommended,none,,none,"The requested amount of IDR 14,649,000 exceeds the safe-to-pay baseline of IDR 930,584.46. Even accounting for the confirmed salary increase of IDR 9,490,500, the total available headroom remains insufficient to cover the full transfer while maintaining your required minimum balance. No viable installment or partial payment options are available that meet your criteria."
request_38,165.96,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,"Your current safe-to-pay amount of 165.96 EUR is insufficient for the full 971.30 EUR request. As you only consider full payment and partial payments are not allowed, you cannot afford this today. However, you can afford the full amount by your desired completion date of 2025-10-15."
request_39,53164.99,affordable_later,wait,2026-06-15:208600.0,2026-06-15,none,"The requested amount of 208,600 INR exceeds the safe baseline of 53,164.99 INR. However, the full amount becomes safe to pay by the desired completion date of 2026-06-15, making waiting the most appropriate strategy."
request_40,328.51,not_affordable,not_recommended,none,,none,"Your baseline safe-to-pay amount of 328.51 EUR is insufficient to cover the 1,290.30 EUR course fee. Installment options are not viable as they exceed the 5-month maximum installment period allowed by your profile, and partial payment is not permitted for this request."
request_41,8588917.74,affordable_later,wait,2026-01-15:38760000.0,2026-01-15,none,"The requested amount of IDR 38,760,000 exceeds the safe baseline of IDR 8,588,917.74. Partial payment is not allowed for this request. Full payment is safe by the desired completion date of 2026-01-15, making the wait option the most appropriate path."
request_42,52100,affordable_now,full_payment,2026-01-05:52100.0,2026-01-05,none,"Your baseline safe-to-pay amount of INR 52,100 covers the full requested amount. As you have indicated a preference for full payment and it is affordable today, we recommend paying the full amount immediately."
request_43,8200968.59,affordable_later,wait,2024-11-15:43339000.0,2024-11-15,none,"Your current safe-to-pay amount of IDR 8,200,968.59 is insufficient for the full purchase price of IDR 43,339,000.00. While you have a confirmed salary increase on 2024-09-15, the baseline forecast already accounts for this and indicates that you will have sufficient funds to complete the full payment by 2024-11-15, which is within your desired completion date."
request_44,29702.05,not_affordable,not_recommended,none,,none,"The requested amount of INR 95,800 exceeds the safe-to-pay baseline of INR 29,702.05. Installment options are not viable as they exceed the maximum installment duration of 4 months (15 and 24 months respectively). Partial payment is not permitted by the provider, and no full payment date is projected within the 90-day forecast."
request_45,3258464.41,not_affordable,not_recommended,none,,none,"The requested amount of IDR 21,983,000 exceeds the safe-to-pay baseline of IDR 3,258,464.41. Even with the upcoming salary increase on 2026-07-15, there is no path to full payment within the 90-day forecast, and the available installment plan exceeds the maximum allowed duration of 4 months."
request_46,32979.5,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2025-01-15,none,"The requested amount of 49,450 exceeds the safe baseline of 32,979.5. Full payment is not safe until 2025-01-15, which is after your desired completion date of 2025-01-09. Therefore, the installment plan (payment_option_125) is recommended as it allows you to complete the repayment within your timeframe."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000.0,2025-05-05,none,"Your baseline safe-to-pay amount of IDR 38,114,000 covers the full requested amount. As you are able to pay in full today, this is the most efficient option."
request_48,45700,affordable_now,full_payment,2026-07-25:45700.0,2026-07-25,none,"The requested amount of 45,700 INR is within the safe-to-pay baseline of 45,700 INR, allowing for a full payment today while maintaining the required minimum balance."
request_49,11902106.67,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"The requested amount of IDR 34,333,000 exceeds the baseline safe amount of IDR 12,216,410.38. Installment plan payment_option_133 is affordable, fits within the 6-month limit, and completes by the desired date of 2024-05-22."
request_50,43900,affordable_now,full_payment,2025-08-06:43900.0,2025-08-06,none,"Your current available balance of INR 247,325.50, after accounting for your minimum balance requirement, supports the full payment of INR 43,900.00 today. Even with the reported reduction in household salary, your 90-day balance forecast remains sufficient to cover this expense."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000.0,2026-01-03,none,"The requested amount of IDR 2,191,000 is within the safe baseline of IDR 2,191,000. Full payment is affordable today."
request_52,28870,affordable_later,wait,2024-06-15:28870.0,2024-06-15,none,"While the baseline safe amount is 18720.48, the confirmed salary increase on 2024-06-15 allows for the full payment of 28870.0 by the desired completion date of 2024-07-09. Waiting until 2024-06-15 is the most efficient path to cover the full expense without incurring financing fees."
request_53,454.2,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,The requested amount of 1699.20 exceeds the safe baseline of 454.20. Installment plan payment_option_145 is affordable as it fits within the 12-month limit and completes by the desired date of 2026-01-20.
request_54,1544.16,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 121,528 significantly exceeds the safe payment capacity of ZAR 1,544.16. Even with the confirmed salary increase from your employer, the 90-day forecast does not support full payment or the available installment plans within the desired timeframe, as the installment options exceed the 11-month limit or are not financially viable given the current balance constraints."
request_55,128606,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"The requested amount of 218,600 exceeds the safe baseline of 128,606. Installment option 151 is affordable, fits within the desired completion date, and is preferred over waiting until July 15 for a full payment."
request_56,611.84,affordable_with_plan,partial_payment,2025-02-03:611.84|2025-02-15:269.72,2025-02-15,none,"The requested amount of 881.56 exceeds the safe baseline of 611.84. However, partial payment is allowed and the remainder can be covered by the next salary on 2025-02-15, which is before the desired completion date of 2025-03-13."
request_57,12601.64,affordable_later,wait,2026-06-15:61446.0,2026-06-15,none,"The requested amount of ZAR 61,446 exceeds the current safe-to-pay baseline of ZAR 12,601.64. However, the full amount becomes affordable by the desired completion date of 2026-06-15. Therefore, waiting until that date is the recommended path."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000.0,2024-12-07,none,"Your baseline safe-to-pay amount of IDR 16,226,000 matches the requested amount. Despite the notification regarding a reduction in household income, the precomputed baseline already accounts for your 90-day balance forecast, confirming that a full payment today is affordable."
request_59,140600,affordable_now,not_recommended,none,2025-05-04,none,"Your baseline safe-to-pay amount of 140,600.00 covers the full requested investment amount. As you are able to pay the full amount today, this is the most cost-effective option."
request_60,108.86,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,"The requested amount of 199.89 exceeds the safe-to-pay baseline of 108.86. While the user is willing to consider full payment, it is not currently affordable. The full amount can be safely paid by 2026-02-15, which is within the desired completion date of 2026-03-04. Therefore, waiting is the recommended path."
request_61,29062,affordable_now,not_recommended,none,2024-03-03,none,"The baseline safe amount of 29,062.00 covers the full requested amount. Although the employer message indicates a loss of future income, the current available balance and 90-day forecast confirm that a full payment today remains safe while maintaining the required minimum balance."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"The baseline safe amount of 404.23 covers the full requested amount. As the user considers full payment, this is the most efficient option."
request_63,33841.63,not_affordable,not_recommended,none,,none,"The requested amount of INR 343,900 exceeds the safe payment capacity of INR 33,841.63. Additionally, there is no projected date within the 90-day forecast where a full payment becomes safe, and the available payment options do not meet your criteria for affordability."
request_64,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 63,700 exceeds the safe-to-pay baseline of INR 0.0. A large pending debit of INR 79,679.26 due on 2024-06-10 significantly impacts liquidity, and the 90-day balance forecast indicates a potential deficit, making full payment or available installment plans unaffordable."
request_65,5652.91,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 54,340 exceeds the safe-to-pay baseline of ZAR 5,652.91. Partial payment is not viable as the full amount cannot be covered within the 90-day forecast, and no installment plan is acceptable under your preferences. Therefore, the request is not affordable at this time."
